,season,player,pts,reb,ast
2874,2020,Aaron Gordon,894,475,228
2875,2020,Aaron Holiday,627,156,225
2876,2020,Abdel Nader,345,100,38
2877,2020,Adam Mokoka,32,10,4
2878,2020,Admiral Schofield,99,47,15
2879,2020,Al Horford,798,456,270
2880,2020,Al-Farouq Aminu,78,87,21
2881,2020,Alec Burks,993,282,189
2882,2020,Alec Burks,773,226,151
2883,2020,Alec Burks,220,56,38
2884,2020,Alen Smailagić,59,27,13
2885,2020,Alex Caruso,349,123,124
2886,2020,Alex Len,438,321,50
2887,2020,Alex Len,349,230,42
2888,2020,Alex Len,89,91,8
2889,2020,Alfonzo McKinnie,182,113,14
2890,2020,Alize Johnson,34,48,7
2891,2020,Allen Crabbe,172,77,33
2892,2020,Allen Crabbe,143,65,28
2893,2020,Allen Crabbe,29,12,5
2894,2020,Allonzo Trier,155,29,28
2895,2020,Amile Jefferson,15,23,4
2896,2020,Amir Coffey,58,16,14
2897,2020,Andre Drummond,1010,864,152
2898,2020,Andre Drummond,870,775,138
2899,2020,Andre Drummond,140,89,14
2900,2020,Andre Iguodala,96,78,51
2901,2020,Andre Roberson,20,27,4
2902,2020,Andrew Wiggins,1175,274,198
2903,2020,Andrew Wiggins,942,219,155
2904,2020,Andrew Wiggins,233,55,43
2905,2020,Anfernee Simons,579,152,97
2906,2020,Ante Žižić,96,66,6
2907,2020,Anthony Davis,1618,577,200
2908,2020,Anthony Tolliver,200,154,42
2909,2020,Anthony Tolliver,129,110,29
2910,2020,Anthony Tolliver,9,11,3
2911,2020,Anthony Tolliver,62,33,10
2912,2020,Antonius Cleveland,11,7,1
2913,2020,Anžejs Pasečņiks,156,107,18
2914,2020,Aron Baynes,481,237,67
2915,2020,Austin Rivers,596,175,113
2916,2020,Avery Bradley,423,115,63
2917,2020,B.J. Johnson,30,15,3
2918,2020,Bam Adebayo,1146,735,368
2919,2020,Ben McLemore,715,157,58
2920,2020,Ben Simmons,937,444,455
2921,2020,Bismack Biyombo,393,308,50
2922,2020,Blake Griffin,279,84,59
2923,2020,Boban Marjanović,289,197,20
2924,2020,Bobby Portis,668,338,98
2925,2020,Bogdan Bogdanović,924,207,207
2926,2020,Bojan Bogdanović,1275,259,131
2927,2020,Bol Bol,40,19,6
2928,2020,Brad Wanamaker,487,144,179
2929,2020,Bradley Beal,1741,242,347
2930,2020,Brandon Clarke,700,345,81
2931,2020,Brandon Goodwin,206,72,51
2932,2020,Brandon Ingram,1477,380,259
2933,2020,Brandon Knight,183,41,69
2934,2020,Brandon Knight,79,20,31
2935,2020,Brandon Knight,104,21,38
2936,2020,Brian Bowen,6,7,0
2937,2020,Brook Lopez,813,312,99
2938,2020,Bruce Brown,517,274,230
2939,2020,Bruno Caboclo,90,60,12
2940,2020,Bruno Caboclo,62,44,10
2941,2020,Bruno Caboclo,28,16,2
2942,2020,Bruno Fernando,240,198,49
2943,2020,Bryn Forbes,707,126,108
2944,2020,Buddy Hield,1382,328,213
2945,2020,C.J. Miles,64,12,12
2946,2020,CJ McCollum,1556,297,310
2947,2020,Caleb Martin,111,38,23
2948,2020,Caleb Swanigan,65,100,31
2949,2020,Caleb Swanigan,5,7,2
2950,2020,Caleb Swanigan,60,93,29
2951,2020,Cam Reddish,610,216,87
2952,2020,Cameron Johnson,504,187,69
2953,2020,Cameron Payne,87,31,24
2954,2020,Caris LeVert,842,189,199
2955,2020,Carmelo Anthony,895,368,85
2956,2020,Carsen Edwards,121,47,24
2957,2020,Cedi Osman,718,231,154
2958,2020,Chandler Hutchison,218,108,26
2959,2020,Chandler Parsons,14,7,3
2960,2020,Charlie Brown Jr.,20,4,2
2961,2020,Chasson Randle,5,2,5
2962,2020,Cheick Diallo,219,131,22
2963,2020,Chimezie Metu,58,33,10
2964,2020,Chris Boucher,411,277,26
2965,2020,Chris Chiozza,142,53,83
2966,2020,Chris Chiozza,27,15,28
2967,2020,Chris Chiozza,115,38,55
2968,2020,Chris Clemons,161,30,27
2969,2020,Chris Paul,1232,349,472
2970,2020,Chris Silva,133,126,23
2971,2020,Christian Wood,810,390,60
2972,2020,Clint Capela,543,537,48
2973,2020,Coby White,859,230,175
2974,2020,Cody Martin,238,158,95
2975,2020,Cody Zeller,642,411,88
2976,2020,Collin Sexton,1349,204,192
2977,2020,Corey Brewer,5,8,2
2978,2020,Cory Joseph,458,188,251
2979,2020,Courtney Lee,107,32,12
2980,2020,Cristiano Felício,86,102,16
2981,2020,D'Angelo Russell,1039,177,285
2982,2020,D'Angelo Russell,779,122,206
2983,2020,D'Angelo Russell,260,55,79
2984,2020,D.J. Augustin,599,122,262
2985,2020,D.J. Wilson,133,92,25
2986,2020,DaQuan Jeffries,50,18,7
2987,2020,Damian Jones,306,206,35
2988,2020,Damian Lillard,1978,284,530
2989,2020,Damion Lee,621,239,133
2990,2020,Damyean Dotson,321,91,57
2991,2020,Daniel Gafford,220,106,21
2992,2020,Daniel Theis,601,426,111
2993,2020,Danilo Gallinari,1160,322,119
2994,2020,Danny Green,547,225,91
2995,2020,Dante Exum,159,67,40
2996,2020,Dante Exum,24,12,7
2997,2020,Dante Exum,135,55,33
2998,2020,Danuel House Jr.,662,267,85
2999,2020,Dario Šarić,704,406,123
3000,2020,Darius Bazley,342,246,41
3001,2020,Darius Garland,728,111,229
3002,2020,Daryl Macon,3,0,1
3003,2020,David Nwaba,104,45,8
3004,2020,De'Aaron Fox,1077,196,348
3005,2020,De'Andre Hunter,778,286,112
3006,2020,De'Anthony Melton,455,220,175
3007,2020,DeAndre Jordan,465,561,105
3008,2020,DeAndre' Bembry,249,152,81
3009,2020,DeMar DeRozan,1504,375,380
3010,2020,DeMarre Carroll,87,55,25
3011,2020,DeMarre Carroll,33,31,11
3012,2020,DeMarre Carroll,54,24,14
3013,2020,Dean Wade,20,19,2
3014,2020,Deandre Ayton,690,436,72
3015,2020,Dejounte Murray,720,383,271
3016,2020,Delon Wright,504,280,244
3017,2020,Dennis Schröder,1229,236,262
3018,2020,Dennis Smith Jr.,187,78,98
3019,2020,Denzel Valentine,246,74,43
3020,2020,Deonte Burton,104,57,17
3021,2020,Derrick Favors,459,501,81
3022,2020,Derrick Jones Jr.,500,233,62
3023,2020,Derrick Rose,904,121,278
3024,2020,Derrick Walton,53,16,27
3025,2020,Derrick Walton,50,15,22
3026,2020,Derrick Walton,3,1,5
3027,2020,Derrick White,765,223,241
3028,2020,Devin Booker,1863,297,456
3029,2020,Devon Hall,20,7,13
3030,2020,Devontae Cacok,6,5,1
3031,2020,Devonte' Graham,1145,212,471
3032,2020,Dewan Hernandez,14,14,3
3033,2020,Dewayne Dedmon,256,249,22
3034,2020,Dewayne Dedmon,175,167,15
3035,2020,Dewayne Dedmon,81,82,7
3036,2020,Dillon Brooks,1181,243,150
3037,2020,Dion Waiters,111,24,20
3038,2020,Dion Waiters,28,11,3
3039,2020,Dion Waiters,83,13,17
3040,2020,Domantas Sabonis,1147,771,310
3041,2020,Donovan Mitchell,1655,304,294
3042,2020,Donta Hall,39,38,4
3043,2020,Donta Hall,6,15,2
3044,2020,Donta Hall,33,23,2
3045,2020,Donte DiVincenzo,610,318,154
3046,2020,Dorian Finney-Smith,678,405,114
3047,2020,Doug McDermott,710,174,78
3048,2020,Dragan Bender,107,73,28
3049,2020,Dragan Bender,26,20,9
3050,2020,Dragan Bender,81,53,19
3051,2020,Draymond Green,345,266,266
3052,2020,Drew Eubanks,107,85,15
3053,2020,Duncan Robinson,983,232,102
3054,2020,Dusty Hannahs,12,1,0
3055,2020,Dwayne Bacon,224,100,52
3056,2020,Dwight Howard,517,507,45
3057,2020,Dwight Powell,376,227,59
3058,2020,Dāvis Bertāns,834,245,92
3059,2020,Džanan Musa,192,86,43
3060,2020,E'Twaun Moore,466,131,78
3061,2020,Ed Davis,51,105,12
3062,2020,Edmond Sumner,152,46,55
3063,2020,Elfrid Payton,449,212,323
3064,2020,Elie Okobo,219,90,115
3065,2020,Emmanuel Mudiay,395,126,116
3066,2020,Enes Freedom,469,431,56
3067,2020,Eric Bledsoe,911,282,328
3068,2020,Eric Gordon,520,71,54
3069,2020,Eric Mika,6,7,0
3070,2020,Eric Paschall,837,275,127
3071,2020,Ersan İlyasova,414,302,49
3072,2020,Evan Fournier,1221,171,209
3073,2020,Evan Turner,62,38,38
3074,2020,Frank Jackson,371,83,61
3075,2020,Frank Kaminsky,378,176,75
3076,2020,Frank Mason III,62,19,29
3077,2020,Frank Ntilikina,357,121,172
3078,2020,Fred VanVleet,952,203,357
3079,2020,Furkan Korkmaz,704,168,79
3080,2020,Gabe Vincent,22,5,6
3081,2020,Garrett Temple,641,218,156
3082,2020,Garrison Mathews,98,24,10
3083,2020,Gary Clark,156,110,17
3084,2020,Gary Clark,70,40,12
3085,2020,Gary Clark,86,70,5
3086,2020,Gary Harris,581,163,118
3087,2020,Gary Payton II,113,80,48
3088,2020,Gary Trent Jr.,541,100,61
3089,2020,George Hill,554,177,180
3090,2020,Georges Niang,392,127,44
3091,2020,Giannis Antetokounmpo,1857,856,354
3092,2020,Glenn Robinson III,727,270,96
3093,2020,Glenn Robinson III,619,226,85
3094,2020,Glenn Robinson III,108,44,11
3095,2020,Goga Bitadze,172,106,23
3096,2020,Goran Dragić,953,187,301
3097,2020,Gordon Hayward,909,348,212
3098,2020,Gorgui Dieng,464,354,73
3099,2020,Gorgui Dieng,341,256,58
3100,2020,Gorgui Dieng,123,98,15
3101,2020,Grant Williams,237,178,68
3102,2020,Grayson Allen,330,85,52
3103,2020,Hamidou Diallo,318,167,36
3104,2020,Harrison Barnes,1046,355,159
3105,2020,Harry Giles,316,188,60
3106,2020,Hassan Whiteside,1040,905,78
3107,2020,Henry Ellenson,2,6,1
3108,2020,Ian Mahinmi,283,218,49
3109,2020,Ignas Brazdeikis,17,5,4
3110,2020,Iman Shumpert,54,34,12
3111,2020,Isaac Bonga,330,222,76
3112,2020,Isaiah Hartenstein,107,90,18
3113,2020,Isaiah Roby,0,2,0
3114,2020,Isaiah Thomas,488,68,146
3115,2020,Ish Smith,740,219,334
3116,2020,Ivica Zubac,596,543,82
3117,2020,J.J. Barea,222,53,112
3118,2020,J.J. Redick,917,151,119
3119,2020,J.P. Macura,0,0,0
3120,2020,J.R. Smith,17,5,3
3121,2020,Ja Morant,1193,259,488
3122,2020,JaKarr Sampson,156,88,21
3123,2020,JaMychal Green,430,388,49
3124,2020,JaVale McGee,446,390,37
3125,2020,Jabari Parker,531,214,68
3126,2020,Jabari Parker,480,191,58
3127,2020,Jabari Parker,51,23,10
3128,2020,Jacob Evans,128,41,31
3129,2020,Jacob Evans,128,41,31
3130,2020,Jacob Evans,0,0,0
3131,2020,Jae Crowder,684,384,161
3132,2020,Jae Crowder,447,277,125
3133,2020,Jae Crowder,237,107,36
3134,2020,Jahlil Okafor,243,127,37
3135,2020,Jake Layman,210,57,15
3136,2020,Jakob Poeltl,372,375,116
3137,2020,Jalen Brunson,466,134,188
3138,2020,Jalen Lecque,10,2,2
3139,2020,Jalen McDaniels,89,65,13
3140,2020,Jamal Crawford,5,0,3
3141,2020,Jamal Murray,1091,236,284
3142,2020,James Ennis III,454,245,63
3143,2020,James Ennis III,285,150,41
3144,2020,James Ennis III,169,95,22
3145,2020,James Harden,2335,446,512
3146,2020,James Johnson,270,118,74
3147,2020,James Johnson,102,52,21
3148,2020,James Johnson,168,66,53
3149,2020,Jared Dudley,68,52,28
3150,2020,Jared Harper,2,0,0
3151,2020,Jaren Jackson Jr.,990,262,78
3152,2020,Jarred Vanderbilt,12,9,2
3153,2020,Jarred Vanderbilt,10,8,2
3154,2020,Jarred Vanderbilt,2,1,0
3155,2020,Jarrell Brantley,24,20,11
3156,2020,Jarrett Allen,775,671,110
3157,2020,Jarrett Culver,580,212,110
3158,2020,Jarrod Uthoff,19,6,0
3159,2020,Jarrod Uthoff,4,1,0
3160,2020,Jarrod Uthoff,15,5,0
3161,2020,Javonte Green,163,93,26
3162,2020,Jaxson Hayes,472,259,56
3163,2020,Jaylen Brown,1159,364,118
3164,2020,Jaylen Hoard,38,32,4
3165,2020,Jaylen Nowell,57,13,19
3166,2020,Jayson Tatum,1547,460,200
